"","composerName"
"1","Beethoven,  Ludwig  van"
"11","Weber,  Carl  Maria Von"
"21","Hummel,  Johann"
"51","Rossini,  Gioachino"
"71","Mozart,  Wolfgang  Amadeus"
"81","Kalliwoda,  Johann  W."
"96","Bellini,  Vincenzo"
"101","Romberg,  Bernhard"
"232","Pacini,  Giovanni"
"296","Onslow,  George"
"392","Thalberg,  Sigismond"
"456","Herz,  Henri"
"488","Lindpaintner,  Peter  Von"
"529","Haydn,  Franz  Joseph"
"538","Mendelssohn,  Felix"
"565","Spohr,  Louis"
"585","Nini,  Alessandro"
"591","Donizetti,  Gaetano"
"777","Reicha,  Antoine(-Joseph)"
"829","Herold,  Louis  Joseph Ferdinand [Hérold]"
"858","Bochsa,  Robert  N. C."
"875","Vieuxtemps,  Henri"
"964","Marschner,  Heinrich  August"
"1007","Bennett,  William  Sterndale"
"1016","Meyerbeer,  Giacomo"
"1034","Ries,  Ferdinand"
"1052","Kreutzer,  Conradin"
"1072","Cherubini,  Luigi"
"1076","Mercadante,  Giuseppe  Saverio"
"1080","Traditional,"
"1088","Heller,  Stephen [István]"
"1092","Mehul [Méhul],  Etienne  Nicolas"
"1110","Loder,  George, Jr."
"1131","Beriot,  Charles-Auguste  de"
"1138","Reissiger,  Karl  Gottlieb"
"1163","Furstenau,  Anton  Bernhard"
"1166","Berlioz,  Hector"
"1226","Verdi,  Giuseppe"
"1265","Chopin,  Frédéric"
"1273","Bristow,  George  Frederick"
"1315","Hiller,  Ferdinand"
"1343","Eisenhofer,  Franz  Xaver"
"1378","Dussek,  Jan  Ladislav"
"1453","Moscheles,  Ignaz"
"1471","Lachner,  Franz"
"1489","Gade,  Niels"
"1507","Jacobi,  Frederick"
"1509","Granz,  Norman"
"1522","Schmitz,  Henry"
"1525","Schumann,  Robert"
"1575","Costa,  Sir  Michael"
"1614","Nicholson,  Charles"
"1720","Maurer,  Ludwig  Wilhelm"
"1739","Benedict,  Jules"
"1742","Fuchs,  H."
"1748","Schubert,  Franz"
"1754","David,  Ferdinand"
"1758","Spontini,  Gasparo"
"1786","Heinemeyer,  Ernst  Wilhelm"
"1798","Dancla,  Jean  Charles"
"1804","Wallace,  William  Vincent"
"1810","Litolff,  Henry  Charles"
"1950","Kalkbrenner,  Friedrich [Frédéric]"
"2016","Haase,  Carl  F.W."
"2097","Abt,  Franz"
"2146","Gumbert,  Friedrich  Adolf"
"2149","Paganini,  Nicolò"
"2152","Fesca,  Alexander  (Ernst)"
"2155","Lobe,  Johann  Christian"
"2188","Mason,  William"
"2234","Gockel,  August"
"2240","Bordese,  Luigi"
"2257","Parish-Alvars,  Elias"
"2312","Handel,  George  Frideric"
"2323","Lortzing,  Albert"
"2363","Schneider,  Johann  C. Friedrich"
"2375","Baumann,  F."
"2441","Eisfeld,  Theodore"
"2459","Sainton,  Prosper"
"2475","Schreiber,  Louis"
"2568","Wagner,  Richard"
"2667","Mollenhauer,  Friedrich"
"2679","Gluck,  Christoph  Willibald"
"2685","Dessauer,  Josef"
"2842","Goldbeck,  Robert"
"2848","Rode,  Jacques  Pierre Joseph"
"2872","Henselt,  Adolf  Von"
"2896","Gottschalk,  Louis  Moreau"
"2908","Schindelmeisser,  Ludwig"
"2922","Ernst,  Heinrich  Wilhelm"
"2930","Rietz,  Julius"
"2994","Goltermann,  Georg  Eduard"
"3006","Servais,  Adrien  Francois"
"3050","Nicolai,  Otto"
"3352","Topliffe,"
"3358","Field,  John"
"3364","Rubinstein,  Anton"
"3412","Liszt,  Franz"
"3452","Arne,  Thomas"
"3489","Napoleon,  Arthur"
"3495","Stigelli,  Giorgio"
"3544","Satter,  Gustave"
"3583","Auber,  Daniel-François"
"3671","Haertel,  A."
"3744","Kummer,  Friedrich  August"
"3804","Mollenhauer,  Edward"
"3808","Tedesco,  Ignaz  Amadeus"
"3812","Lubeck,  Ernst"
"3830","Saar,  Wiiliam"
"3842","Lucas,"
"3911","Shaw,  David  T."
"3934","Wallace,"
"3957","Hopkins,  Charles  Jerome"
"3980","Otten,  William  F."
"4187","Mills,  Sebastian  Bach"
"4233","Verzano,"
"4302","Anthem,"
"4366","Stradella,  Alessandro"
"4416","Brahms,  Johannes"
"4461","Neukirchner,  Wenzel"
"4472","Lipinsky,  Karl  Joseph"
"4538","Bach,  Johann  Sebastian"
"4575","Clapisson,  Antoine  Louis"
"4636","Bergner,  Frederick"
"4722","Gounod,  Charles"
"4768","Artot,  Alexandre"
"4798","Esser,  Heinrich"
"4803","Evers,  Carl"
"4883","Flotow,  Friedrich  Von"
"4888","Hohnstock,  Carl"
"4937","Ritter,  Frederic  Louis"
"4959","Alard,  Jean  Delphin"
"4994","Palestrina,  Giovanni  Da"
"5003","Bargiel,  Woldemar"
"5071","Prume,  Jehin"
"5093","Wehli,  James  M."
"5137","Burgmuller,  Norbert"
"5217","Volkmann,  Friedrich  Robert"
"5315","Bruch,  Max"
"5397","Veit,  Wenzel  Heinrich"
"5401","Kinkel,  Johanna"
"5461","Catel,  Charles  Simon"
"5469","Bull,  Ole"
"5535","Rizzo,  Giovanni  Battista [Riccio]"
"5570","Raff,  Joachim"
"5606","Goldmark,  Karl"
"5853","Bergmann,  Carl"
"5908","Reinecke,  Carl"
"5937","Dachauer,  Louis"
"5992","Heinefetter,  Wilhelm"
"6016","Boieldieu,  François-Adrien"
"6025","Frey,  M."
"6121","Erdmannsdorfer,  Max  Von"
"6169","Pinsoti,"
"6201","Matzka,  George"
"6357","Grimm,  Julius  Otto"
