"","conductorName"
"1","Hill, Ureli Corelli"
"11","Timm, Henry C."
"21",""
"41","Etienne, Denis G."
"111","Alpers, William"
"168","Not conducted"
"520","Boucher, Alfred"
"529","Loder, George"
"971","Wiegers, Louis"
"1382","Macfarren, George Alexander;  Loder, George"
"1513","Eisfeld, Theodore"
"1531","Maretzek, Max"
"2528","Bergmann, Carl"
"3842","Bristow, George Frederick"
"6225","Rubinstein, Anton"
"6517","Bergmann, Carl;  Neuendorff, Adolph"
"6592","Matzka, George"
"6616","Damrosch, Leopold"
"6649","Schmelz, Reinhard"
"7259","Thomas, Theodore"
"7341","Neuendorff, Adolph"
"9448","Damrosch, Leopold;  Bruch, Max"
"9452","Bruch, Max"
"9997","Damrosch, Walter"
"12232","Tchaikovsky, Pyotr Ilyich"
"12305","Damrosch, Walter;  Tchaikovsky, Pyotr Ilyich"
"12427","Seidl, Anton"
"12953","Seidl, Anton;  Dvorak, Antonin"
"12965","Dvorak, Antonin"
"15949","Van Der Stucken, Frank"
"16803","Henschel, George"
"18232","Damrosch, Frank"
"18561","Bimboni"
"18781","Unknown"
"18861","Paur, Emil"
"22408","Burckhardt, J."
"22812","Bullerjahn, Rudolph"
"23416","Sapio, Romualdo"
"23524","Colonne, Edouard"
"23739","Kogel, Gustav Friedrich"
"24235","Wood, Henry Joseph"
"24381","Herbert, Victor"
"24419","Weingartner, Felix"
"24495","Safonoff, Wassily"
"24614","Strauss, Richard"
"25452","Ysaye, Eugène"
"25461","D'Albert, Eugen"
"25624","Panzner, Karl"
"26245","Mengelberg, Willem"
"26524","Fiedler, Max"
"26732","Kunwald, Ernst"
"27002","Steinbach, Fritz"
"27019","Arens, Franz X."
"27874","German, Edward"
"28231","Reyl, Emil"
"29284","Mahler, Gustav"
"29607","Claassen, Arthur;  Damrosch, Walter"
"29678","Stahlberg, Fritz"
"31886","Hadley, Henry"
"35394","Spiering, Theodore"
"35398","Busoni, Ferruccio B."
"35723","Kronold, Hans"
"35980","Stransky, Josef"
"37487","Broome, Edward"
"37772","Harris, Victor"
"37792","Damrosch, Walter;  Harris, Victor;  Chadwick, George Whitefield"
"37802","Chadwick, George Whitefield"
"37844","Boyle, George Frederick"
"37866","Schindler, Kurt"
"38412","Nowowiejski, Felix"
"40589","Schulz, Leo"
"40652","Elsenheimer, Nicholas"
"41061","Stransky, Josef;  Broome, Edward;  Knight, G. H."
"42627","Damrosch, Walter;  Schindler, Kurt"
"42881","Kolar, Victor"
"47309","Burck, Henry"
"47310","Laucella, Nicola"
"48971","Mees, Arthur"
"49645","Hall, Walter Henry"
"49888","Koemmenich, Louis"
"50278","Smith, David Stanley"
"52923","Rogers, Frederic"
"53997","Cook, I. Milton"
"54651","Farrow, Miles"
"55072","Graff, Otto A."
"56917","Gabrilowitsch, Ossip"
"58825","Bloch, Ernest"
"59134","Wilson, Mortimer"
"59688","Humiston, William H."
"59770","Grainger, Percy"
"60620","Varese [Varèse], Edgard"
"60632","Bodanzky, Artur"
"61728","Ganz, Rudolph"
"61923","Riesenfeld, Hugo"
"61965","Pollain, Rene"
"62125","Willeke, Willem"
"63600","Foch, Dirk"
"63872","Rothwell, Walter Henry"
"64860","Coates, Albert"
"66126","Webber, Bertram S."
"66298","Stransky, Josef;  Hadley, Henry"
"67102","Indy, Vincent d'"
"68179","Hoogstraten, Willem van"
"68468","Finn, William"
"69159","Fricker, Herbert Austin"
"69252","Mannes, David"
"71224","Zeiner, Edward J. A."
"71373","Walter, Bruno"
"71887","Saminsky, Lazare"
"72922","Bridge, Frank"
"72955","Stoessel, Albert"
"73139","Waghalter, Ignatz"
"74667","Schelling, Ernest"
"74893","Hanson, Howard"
"75827","Golschmann, Vladimir"
"76023","Reiner, Fritz"
"76141","Volpe, Arnold"
"76820","Kibalchich, Basile"
"77044","Furtwangler [Furtwängler], Wilhelm"
"77142","Stravinsky, Igor"
"77156","Leginska, Ethel"
"78870","Vaughn, Clifford"
"83637","Sokoloff, Nikolai"
"85492","Goossens, Eugene"
"85521","Toscanini, Arturo"
"85693","Klemperer, Otto"
"87565","Stock, Frederick"
"88299","Shaeffer, Joseph"
"88950","Georgesco, Georges"
"89250","Lange, Hans"
"89427","Milhaud, Darius"
"89588","Taylor, Deems"
"90092","Busch, Fritz"
"91266","Boergermann, P."
"91371","Monteux, Pierre"
"96629","Auer, Leopold"
"97283","Low, Leo"
"97395","Dubensky, Arkady"
"97587","Beecham, Thomas"
"97626","Molinari, Bernardino"
"97958","Rodzinski, Artur"
"98485","Ravel, Maurice"
"98531","Fried, Oscar"
"98561","Fernandez Arbos, Enrique"
"98916","Langley, Allan Lincoln"
"98979","Johnson, Hall"
"99749","Harris, Graham"
"105799","Honegger, Arthur"
"106322","Krauss, Clemens"
"113226","Mendoza, David"
"113602","Gershwin, George"
"120509","Ormandy, Eugene"
"120702","Kleiber, Erich"
"120963","Stokowski, Leopold"
"121924","Hoogstraten, Willem van;  Johnson, Hall"
"122452","Daly, William"
"124715","Respighi, Ottorino"
"125005","Wagenaar, Bernard"
"125006","Hoogstraten, Willem van;  Wagenaar, Bernard"
"125013","Labate, Bruno"
"128255","Cella, Theodore"
"128256","Coates, Albert;  Cella, Theodore"
"128730","Dobroven [Dobrowen], Issay Alexandrovich"
"133649","Barzin, Leon"
"133944","Kindler, Hans"
"134087","Lange, Hans;  Johnson, Hall"
"134123","Whiteman, Paul"
"134866","Iturbi, Jose"
"136877","Bamboschek, Giuseppe"
"138632","Smallens, Alexander"
"138647","Bennett, Robert Russell"
"138650","Iturbi, Jose;  Bennett, Robert Russell;  Taylor, Deems"
"138685","Iturbi, Jose;  Ross, Hugh"
"139607","Hoffman, Ernst"
"141457","Janssen, Werner"
"141960","Hrdliczka, Gertrud"
"143604","Iturbi, Jose;  Cella, Theodore"
"144581","Smallens, Alexander;  Sciarretti, Alberto"
"147132","Harmati, Sandor"
"149253","Ross, Hugh"
"150671","Kerby, Paul"
"151276","Smallens, Alexander;  Sciaretti, Alberto"
"151348","White, Paul"
"152004","Barbirolli, John"
"154370","Enesco, Georges"
"155221","Chavez [Chávez], Carlos"
"155906","Golschmann, Vladimir;  Camilieri, Lorenzo"
"156036","Camilieri, Lorenzo"
"156276","Fuerst, Eugene"
"156555","Cryer, Jon"
"156582","Reiner, Fritz;  Cella, Theodore"
"156591","King Raudenbush, George"
"156651","Raudenbush, George King"
"156752","Smallens, Alexander;  Grofe, Ferde"
"157016","Grofe, Ferde"
"157249","Adler, F. Charles"
"157870","Piastro, Mishel"
"158493","Porter, Quincy"
"158501","Barbirolli, John;  Porter, Quincy"
"159154","Smallens, Alexander;  Blose, Johann M"
"159304","Marrow, Macklin"
"159472","Smallens, Alexander;  Reich, Martin"
"159498","Freccia, Massimo"
"159588","Brico, Antonia"
"159645","Plotnikoff, Eugene"
"159647","Gutman, Arthur H"
"159653","Gould, Morton"
"159655","Stringfield, Lamar"
"160026","Smallens, Alexander;  Cella, Theodore"
"160037","Hilsberg, Alexander"
"160175","Maganini, Quinto"
"160536","Haubiel, Charles"
"160883","Vactor, David Van"
"160886","Barbirolli, John;  Vactor, David Van"
"161051","Boulanger, Nadia"
"161309","Sanders, Robert Levine"
"163190","Kielland, Olav"
"163294","Marx, Burle"
"163516","Boult, Adrian"
"163763","Kurtz, Efrem"
"164076","Weissmann, Frieder"
"164123","Kostelanetz, Andre"
"164237","O'Connell, Charles"
"164368","Paray, Paul"
"164585","Bamberger, Carl"
"164625","Blant, Josef"
"164829","Barlow, Howard"
"164874","Smallens, Alexander;  Marrow, Macklin;  Barlow, Howard"
"165084","Bliss, Arthur"
"165503","Adler, Peter Herman"
"165694","Kurthy, Zoltan"
"166342","Warnow, Mark"
"166724","Helfman, Max"
"166749","McArthur, Edwin"
"167470","Steinberg, William"
"168592","Mitropoulos, Dimitri"
"168943","Kalman [Kálmán], Emmerich"
"169075","Straus, Oscar"
"169163","Alwin, Carl"
"169229","Stolz, Robert"
"169969","Montemezzi, Italo"
"170879","Allers, Franz"
"173056","Stewart, Reginald"
"175045","Dixon, Dean"
"175719","Koussevitzky, Serge"
"175745","Haufrecht, Herbert"
"180460","Corigliano, John, Sr."
"180461","Maazel, Lorin"
"180468","Josten, Werner"
"180787","Antonini, Alfredo"
"182191","Dorati, Antal"
"182203","Zlatin, Mois"
"182206",";  Lawrence, Robert"
"182379",";  Not conducted"
"182563","Szell, George"
"183466","Horenstein, Jascha"
"183712","Steiner, Max"
"183892","Cooper, Emil"
"184158","Bernstein, Leonard"
"184255","Beckett, Wheeler"
"184277","Tansman, Alexandre"
"184291","LaGuardia, Fiorello"
"184337","Herrmann, Bernard"
"184349","Ganz, Rudolph;  Taylor, Deems"
"184974","Vrooman, Aileen"
"185128","Fittelberg, Gregor"
"185606","Foss, Lukas"
"185760","Strasfogel, Ignace"
