1,"Otto, Antoinette","Soprano"
2,"Scharfenberg, William","Piano"
3,"Hill, Ureli Corelli","Violin"
4,"Derwort, G. H.","Viola"
5,"Boucher, Alfred","Cello"
6,"Rosier, F. W.","Contrabass"
7,"Horn, Charles Edward","Tenor"
8,"Timm, Henry C.","Piano"
9,"Lehman","Flute"
10,"Groneveldt, Theodore W.","Clarinet"
11,"Hegelund, H. W.","Bassoon"
12,"Woehning, F. C.","French Horn"
13,"No Soloist","None"
14,"Rakeman, Frederick","Piano"
15,"Wiese, Frederick","Oboe"
16,"Loder, Edward","Vocalist"
17,"Gröneveldt, W. Theodore","Clarinet"
18,"Reiff, Anton, Sr.","Bassoon"
19,"Trojsi, Gaetano","French Horn"
20,"Wiegers, Louis","Viola"
21,"Castellan, Jeanne Anais","Soprano"
22,"Kyle, John A.","Flute"
23,"Johnson","Tenor"
24,"Vieuxtemps, Henri","Violin"
25,"Valtellina","Tenor"
26,"Ricci, Amalia","Vocalist"
27,"Sanquirico","Vocalist"
28,"De Luce","Vocalist"
29,"Munson","Vocalist"
30,"Massett, J. Schwartz","Vocalist"
31,"Arnoult","Vocalist"
32,"Mott","Vocalist"
33,"Lazare, Jenny","Harp"
34,"Wollenhauft, Hermann","Piano"
35,"Starck, F.","Clarinet"
36,"Burke, Joseph","Violin"
37,"Northall, Julia","Vocalist"
38,"Dodworth, Allen","Cornet"
39,"Dodworth, Harvey B.","Cornet"
40,"Pico","Vocalist"
41,"Beames","Piano"
42,"Boulard","Alto"
43,"Munson","Tenor"
44,"Mayer","Bass"
45,"Ablamowicz","Vocalist"
46,"Heuckeroth, Charles","Violin"
47,"De Ribas","Oboe"
48,"Liederkranz of the City of New York","Mens Chorus"
49,"Rapetti, M.","Violin"
50,"Horn, C.E.","Vocalist"
51,"Hoffman, Richard","Piano"
52,"Arthurson","Vocalist"
53,"Leach, S. L.","Vocalist"
54,"Elena, Luigi","Violin"
55,"Eltz, Paul","Bassoon"
56,"Haase, Carl F.W.","Trumpet"
57,"Schmitz, Henry","French Horn"
58,"Dresel, Otto","Piano"
59,"Distin, and His Sons","Saxhorn"
60,"Willy, J.","Piano"
61,"Poppenberg","Tenor"
