"conductorName"
"Hill, Ureli Corelli"
"Timm, Henry C."
"Not conducted"
"Etienne, Denis G."
"Alpers, William"
"Boucher, Alfred"
"Loder, George"
"Wiegers, Louis"
"Macfarren, George Alexander;  Loder, George"
"Eisfeld, Theodore"
"Maretzek, Max"
"Bergmann, Carl"
"Bristow, George Frederick"
"Rubinstein, Anton"
"Bergmann, Carl;  Neuendorff, Adolph"
"Matzka, George"
"Damrosch, Leopold"
"Schmelz, Reinhard"
"Thomas, Theodore"
"Neuendorff, Adolph"
"Damrosch, Leopold;  Bruch, Max"
"Bruch, Max"
"Damrosch, Walter"
"Tchaikovsky, Pyotr Ilyich"
"Damrosch, Walter;  Tchaikovsky, Pyotr Ilyich"
"Seidl, Anton"
"Seidl, Anton;  Dvorak, Antonin"
"Dvorak, Antonin"
"Van Der Stucken, Frank"
"Henschel, George"
"Damrosch, Frank"
"Bimboni"
"Unknown"
"Paur, Emil"
"Burckhardt, J."
"Bullerjahn, Rudolph"
"Sapio, Romualdo"
"Colonne, Edouard"
"Kogel, Gustav Friedrich"
"Wood, Henry Joseph"
"Herbert, Victor"
"Weingartner, Felix"
"Safonoff, Wassily"
"Strauss, Richard"
"Ysaye, Eugène"
"D'Albert, Eugen"
"Panzner, Karl"
"Mengelberg, Willem"
"Fiedler, Max"
"Kunwald, Ernst"
"Steinbach, Fritz"
"Arens, Franz X."
"German, Edward"
"Reyl, Emil"
"Mahler, Gustav"
"Claassen, Arthur;  Damrosch, Walter"
"Stahlberg, Fritz"
"Hadley, Henry"
"Spiering, Theodore"
"Busoni, Ferruccio B."
"Kronold, Hans"
"Stransky, Josef"
"Broome, Edward"
"Harris, Victor"
"Damrosch, Walter;  Harris, Victor;  Chadwick, George Whitefield"
"Chadwick, George Whitefield"
"Boyle, George Frederick"
"Schindler, Kurt"
"Nowowiejski, Felix"
"Schulz, Leo"
"Elsenheimer, Nicholas"
"Stransky, Josef;  Broome, Edward;  Knight, G. H."
"Damrosch, Walter;  Schindler, Kurt"
"Kolar, Victor"
"Burck, Henry"
"Laucella, Nicola"
"Mees, Arthur"
"Hall, Walter Henry"
"Koemmenich, Louis"
"Smith, David Stanley"
"Rogers, Frederic"
"Cook, I. Milton"
"Farrow, Miles"
"Graff, Otto A."
"Gabrilowitsch, Ossip"
"Bloch, Ernest"
"Wilson, Mortimer"
"Humiston, William H."
"Grainger, Percy"
"Varese [Varèse], Edgard"
"Bodanzky, Artur"
"Ganz, Rudolph"
"Riesenfeld, Hugo"
"Pollain, Rene"
"Willeke, Willem"
"Foch, Dirk"
"Rothwell, Walter Henry"
"Coates, Albert"
"Webber, Bertram S."
"Stransky, Josef;  Hadley, Henry"
"Indy, Vincent d'"
"Hoogstraten, Willem van"
"Finn, William"
"Fricker, Herbert Austin"
"Mannes, David"
"Zeiner, Edward J. A."
"Walter, Bruno"
"Saminsky, Lazare"
"Bridge, Frank"
"Stoessel, Albert"
"Waghalter, Ignatz"
"Schelling, Ernest"
"Hanson, Howard"
"Golschmann, Vladimir"
"Reiner, Fritz"
"Volpe, Arnold"
"Kibalchich, Basile"
"Furtwangler [Furtwängler], Wilhelm"
"Stravinsky, Igor"
"Leginska, Ethel"
"Vaughn, Clifford"
"Sokoloff, Nikolai"
"Goossens, Eugene"
"Toscanini, Arturo"
"Klemperer, Otto"
"Stock, Frederick"
"Shaeffer, Joseph"
"Georgesco, Georges"
"Lange, Hans"
"Milhaud, Darius"
"Taylor, Deems"
"Busch, Fritz"
"Boergermann, P."
"Monteux, Pierre"
"Auer, Leopold"
"Low, Leo"
"Dubensky, Arkady"
"Beecham, Thomas"
"Molinari, Bernardino"
"Rodzinski, Artur"
"Ravel, Maurice"
"Fried, Oscar"
"Fernandez Arbos, Enrique"
"Langley, Allan Lincoln"
"Johnson, Hall"
"Harris, Graham"
"Honegger, Arthur"
"Krauss, Clemens"
"Mendoza, David"
"Gershwin, George"
"Ormandy, Eugene"
"Kleiber, Erich"
"Stokowski, Leopold"
"Hoogstraten, Willem van;  Johnson, Hall"
"Daly, William"
"Respighi, Ottorino"
"Wagenaar, Bernard"
"Hoogstraten, Willem van;  Wagenaar, Bernard"
"Labate, Bruno"
"Cella, Theodore"
"Coates, Albert;  Cella, Theodore"
"Dobroven [Dobrowen], Issay Alexandrovich"
"Barzin, Leon"
"Kindler, Hans"
