"Otto, Antoinette"
"Scharfenberg, William"
"Hill, Ureli Corelli"
"Derwort, G. H."
"Boucher, Alfred"
"Rosier, F. W."
"Horn, Charles Edward"
"Timm, Henry C."
"Lehman"
"Groneveldt, Theodore W."
"Hegelund, H. W."
"Woehning, F. C."
"No Soloist"
"Rakeman, Frederick"
"Wiese, Frederick"
"Loder, Edward"
"Gröneveldt, W. Theodore"
"Reiff, Anton, Sr."
"Trojsi, Gaetano"
"Wiegers, Louis"
"Castellan, Jeanne Anais"
"Kyle, John A."
"Johnson"
"Vieuxtemps, Henri"
"Valtellina"
"Ricci, Amalia"
"Sanquirico"
"De Luce"
"Munson"
"Massett, J. Schwartz"
"Arnoult"
"Mott"
"Lazare, Jenny"
"Wollenhauft, Hermann"
"Starck, F."
"Burke, Joseph"
"Northall, Julia"
"Dodworth, Allen"
"Dodworth, Harvey B."
"Pico"
"Beames"
"Boulard"
"Mayer"
"Ablamowicz"
"Heuckeroth, Charles"
"De Ribas"
"Liederkranz of the City of New York"
"Rapetti, M."
"Horn, C.E."
"Hoffman, Richard"
"Arthurson"
"Leach, S. L."
"Elena, Luigi"
"Eltz, Paul"
"Haase, Carl F.W."
"Schmitz, Henry"
"Dresel, Otto"
"Distin, and His Sons"
"Willy, J."
"Poppenberg"
"Jacoby, Charles W."
"Reitzel, F."
"Chorus"
"Jones, L. A."
"Noll, Joseph"
"Bristow, George Frederick"
"Reyer, H."
"Perkins, James W."
"Benedict, Jules"
"Bouchelle, Wallace"
"Appy, Henri"
"Mayer, Philip"
"Drescher, J. E."
"Goldschmidt, Otto"
"Ohlemann, L."
"Klein"
"Saar, William"
"Bostwick, Emma Gillingham"
"Eben, Felix J."
"Tourny, Mina"
"Tourny, Louisa"
"Eichhorn, Louis"
"Siedenburg"
"Julien, Paul"
"Root's Quartette Party"
"Jaques, Rosa"
"Gockel, August"
"Aptommas, Thomas"
"Hahn, C."
"Brainerd, Maria S."
"Schumann, Julius"
"Knaebel, Simon"
"Wallace, William Vincent"
"Wallace, W.V."
"Lehmann, Caroline"
"Kiefer, Xavier"
"Urso, Camilla"
"Schreiber, Louis"
"Stuart, Georgiana R."
"Satter, Gustave"
"Mendelssohn Union"
"Brinkerhoff, Clara"
"Unknown Soloist"
"Mason, William"
"Dingley, C. A."
"Feder, Otto"
"Mollenhauer, Edward"
"Mollenhauer, Friedrich"
"Badiali, Caesare"
"La Grange, Anna De"
"Doehler, William"
"Goldbeck, Robert"
"Johannsen Scheerer"
"Gottschalk, Louis Moreau"
"Guyon, Emile"
"Roode, Marie De"
"Milner, Annie"
"Mollenhauer, Henry"
"Labocetta"
"Johnson-Gräver, Madeleine"
"Gassier"
"Abella"
"D'Angri, Elena"
"Cooper, Henry C."
"Andem, Hattie"
"Matzka, George"
"Bergner, Frederick"
"Brannes, Charles"
"Arion Choral Society"
"Teutonia Choral Society"
"Wollenhaupt, Bruno"
"Couran, Marie Elina"
"Mills, Sebastian Bach"
"Inman, F."
"Stigelli, Giorgio"
"Napoleon, Arthur"
"Bishop, Anna"
"Colson"
"Centemeri, Pietro"
"Johannsen, Bertha"
"Zimmermann"
"Dummler Schroeder"
"Harmonic Society"
"Wooster, G. W."
"Stoepel, Helene"
"Brignoli, Pasquale"
"Susini, Augustino"
"Hinkley, Isabella"
"Parker, S. Lizzie"
"Rowcroft, Emma"
"Fay, Abby"
"Ridolfi, F."
"Hartmann, Ernst"
"Ludecus"
"Letsch, Frederick"
"Pattison, J. N."
"Thomas, J. B."
"Perring, J. Ernst"
"Kellogg, Clara Louise"
"Lorini, Virginia"
"Quint, Louis"
"Hermanns, Joseph"
"Rotter"
"Paulitsch"
"Lotti, William"
"Thomas, Theodore"
"Varian"
"Prume, Jehin"
"Wehli, James M."
"Poch, Carmelina"
