"workTitle","composerName"
"SYMPHONY NO. 5 IN C MINOR, OP.67","Beethoven,  Ludwig  van"
"OBERON","Weber,  Carl  Maria Von"
"QUINTET, PIANO, D MINOR, OP. 74","Hummel,  Johann"
"ARMIDA","Rossini,  Gioachino"
"FIDELIO, OP. 72","Beethoven,  Ludwig  van"
"ABDUCTION FROM THE SERAGLIO,THE, K.384","Mozart,  Wolfgang  Amadeus"
"OVERTURE NO. 1, D MINOR, OP. 38","Kalliwoda,  Johann  W."
"SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA)","Beethoven,  Ludwig  van"
"I PURITANI","Bellini,  Vincenzo"
"CELEBRATED ELEGIE","Romberg,  Bernhard"
"WILLIAM TELL","Rossini,  Gioachino"
"STABAT MATER","Rossini,  Gioachino"
"CONCERTO, PIANO, A-FLAT MAJOR, OP. 113","Hummel,  Johann"
"FREISCHUTZ, DER","Weber,  Carl  Maria Von"
"EGMONT, OP.84","Beethoven,  Ludwig  van"
"CONCERTO, PIANO, A MINOR, OP. 85","Hummel,  Johann"
"O HAPPY HAPPY HOUR","Pacini,  Giovanni"
"FANTASIA ON SWEEDISH AIRS","Romberg,  Bernhard"
"SEXTET IN E FLAT MAJOR, OP. 30","Onslow,  George"
"FANTASIA AND VARIATIONS ON THEMES FROM NORMA, OP. 12 (FOUR HANDS)","Thalberg,  Sigismond"
"MAGIC FLUTE, THE, K.620","Mozart,  Wolfgang  Amadeus"
"INTRODUCTION AND VARIATIONS ON THE ROMANCE OF JOSEPH, OP. 20","Herz,  Henri"
"QUINTET FOR WINDS AND ORCHESTRA","Lindpaintner,  Peter  Von"
"SYMPHONY NO. 2 IN D MAJOR, OP.36","Beethoven,  Ludwig  van"
"SYMPATHY, HXXVIA:33 (VOICE AND ORCH) (ARR. Loder)","Haydn,  Franz  Joseph"
"MIDSUMMER NIGHT'S DREAM, OP. 61","Mendelssohn,  Felix"
"SEPTET, E-FLAT MAJOR, OP.20","Beethoven,  Ludwig  van"
"E MI LASCI COSÌ? ... TU M'ABBANDONI, INGRATO, OP. 71","Spohr,  Louis"
"JUBEL OVERTURE, OP. 59","Weber,  Carl  Maria Von"
"SYMPHONY NO. 7 IN A MAJOR, OP.92","Beethoven,  Ludwig  van"
"IDA DELLA TORRE","Nini,  Alessandro"
"LUCIA DI LAMMERMOOR","Donizetti,  Gaetano"
"SYMPHONY NO. 41, C MAJOR, K.551, ""JUPITER""","Mozart,  Wolfgang  Amadeus"
"SEPTET, D MINOR, OP. 74","Hummel,  Johann"
"OVERTURE, F MAJOR","Kalliwoda,  Johann  W."
"LA SONNAMBULA","Bellini,  Vincenzo"
"QUINTET","Reicha,  Antoine(-Joseph)"
"ZAMPA","Herold,  Louis  Joseph Ferdinand [Hérold]"
"SYMPHONY NO. 2, D MINOR, OP. 49","Spohr,  Louis"
"DIALOGO BRILLIANTE","Bochsa,  Robert  N. C."
"SEMIRAMIDE","Rossini,  Gioachino"
"CONCERTO, PIANO, B MINOR","Hummel,  Johann"
"EURYANTHE, OP. 81, J. 291","Weber,  Carl  Maria Von"
"FANTASIA POUR LE VIOLON SUR LA QUATRIEME CORDE","Vieuxtemps,  Henri"
"ARIA [UNSPECIFIED]","Donizetti,  Gaetano"
"RULER OF THE SPIRITS: OVERTURE, OP. 27","Weber,  Carl  Maria Von"
"SYMPHONY NO. 8 IN F MAJOR, OP.93","Beethoven,  Ludwig  van"
"L'ELISIR D'AMORE","Donizetti,  Gaetano"
"HEBRIDES (FINGAL'S CAVE) OVERTURE, OP.26","Mendelssohn,  Felix"
"CONVENIENSI TEATRALI","Donizetti,  Gaetano"
"BELISARIO","Donizetti,  Gaetano"
"WAR JUBILEE","Lindpaintner,  Peter  Von"
"SYMPHONY NO.   3, G MAJOR","Haydn,  Franz  Joseph"
"CONCERTINO, CLARINET,  E FLAT MAJOR, OP. 26","Weber,  Carl  Maria Von"
"JESSONDA","Spohr,  Louis"
"CLEMENZA DI TITO, LA, K.621","Mozart,  Wolfgang  Amadeus"
"VAMPYR, LE, OP. 42","Marschner,  Heinrich  August"
"RONDO-FINALE, ""CHE D'ALLA GIOJA""","Donizetti,  Gaetano"
"SINFONIA CONCERTANTE NO. 2","Lindpaintner,  Peter  Von"
"DIE NAJADEN, OP.15","Bennett,  William  Sterndale"
"ROBERT LE DIABLE","Meyerbeer,  Giacomo"
"GROSSE FEST-OVERTURE UND SIEGESMARSCH","Ries,  Ferdinand"
"MELUSINE: OVERTURE","Mendelssohn,  Felix"
"NACHTLAGER IN GRANADA, DAS","Kreutzer,  Conradin"
"GRAND PIANO FANTASIA (OBERON'S ZAUBERHORN)","Hummel,  Johann"
"CROCIATO IN EGITTO, IL","Meyerbeer,  Giacomo"
"SYMPHONY NO. 3, A MINOR, OP.56 (SCOTTISH)","Mendelssohn,  Felix"
"ANACRÉON, OU L'AMOUR FUGITIF","Cherubini,  Luigi"
"NITOCRI","Mercadante,  Giuseppe  Saverio"
"SOLO, HARP","Traditional,"
"FANTASIA ON THEMES FROM OPERA, CHARLES VI","Heller,  Stephen [István]"
"DE LA CHASSE DU JEUNE HENRI","Mehul [Méhul],  Etienne  Nicolas"
"MARMION","Loder,  George, Jr."
"CONCERTO, PIANO, NO. 1, G MINOR, OP.25","Mendelssohn,  Felix"
"CONCERTO, VIOLIN, NO. 4, OP. 46","Beriot,  Charles-Auguste  de"
"CONCERT OVERTURE, OP. 128","Reissiger,  Karl  Gottlieb"
"SYMPHONY NO. 1","Kalliwoda,  Johann  W."
"AVE MARIA","Cherubini,  Luigi"
"TANCREDI","Rossini,  Gioachino"
"CONCERTO, FLUTE, NO. 5, OP.52","Furstenau,  Anton  Bernhard"
"FRANCS-JUGES, LES: OVERTURE","Berlioz,  Hector"
"SYMPHONY NO. 40, G MINOR, K.550","Mozart,  Wolfgang  Amadeus"
"SYMPHONY NO. 6 IN F MAJOR, OP.68 (PASTORAL)","Beethoven,  Ludwig  van"
"DUETTO, TWO CORNETS","Traditional,"
"GAZZA LADRA, LA","Rossini,  Gioachino"
"ANNA BOLENA","Donizetti,  Gaetano"
"FALIERO","Donizetti,  Gaetano"
"LOMBARDI, I","Verdi,  Giuseppe"
"SYMPHONY NO. 9 IN D MINOR, OP.125","Beethoven,  Ludwig  van"
"SYMPHONY NO. 4, OP. 86 (DIE WEIHE DER TONE)","Spohr,  Louis"
"CONCERTO, PIANO, NO. 1, E MINOR, OP. 11","Chopin,  Frédéric"
"KING LEAR OVERTURE, OP. 4","Berlioz,  Hector"
"SYMPHONY NO. 39, E-FLAT MAJOR, K.543","Mozart,  Wolfgang  Amadeus"
"CONCERT OVERTURE, OP.3","Bristow,  George  Frederick"
"CONCERTO, VIOLIN, NO. 12, A MAJOR, OP. 79 (CONCERTINO NO. 1)","Spohr,  Louis"
"DON GIOVANNI, K.527","Mozart,  Wolfgang  Amadeus"
"DUETTO, GRAND, FLUTE, PIANO","Traditional,"
"SHE NEVER TOLD HER LOVE, H.XXVIA.34","Haydn,  Franz  Joseph"
"CONCERT OVERTURE","Hiller,  Ferdinand"
"ARIA FOR OBOE","Beriot,  Charles-Auguste  de"
"JÄGER ABSCHIED, DER","Mendelssohn,  Felix"
"CONCERTO, GRAND, VIOLIN","Traditional,"
"WALTZ","Eisenhofer,  Franz  Xaver"
"MARRIAGE OF FIGARO, THE, K.492","Mozart,  Wolfgang  Amadeus"
"ERNANI","Verdi,  Giuseppe"
"CONCERTO, TWO PIANOS","Dussek,  Jan  Ladislav"
"VAMPYR, DER","Lindpaintner,  Peter  Von"
"ST. PAUL, OP. 36","Mendelssohn,  Felix"
"ELIJAH, OP.70","Mendelssohn,  Felix"
"REQUIEM, K.626 (ARR. Sussmayr)","Mozart,  Wolfgang  Amadeus"
"SYMPHONY NO. 2, B-FLAT MAJOR, OP. 52, ""LOBEGESANG""","Mendelssohn,  Felix"
"SINFONIA CONCERTANTE NO. 1","Lindpaintner,  Peter  Von"
"SYMPHONY NO. 1, E FLAT MAJOR, OP. 20","Spohr,  Louis"
"CONCERTO, PIANO, NO. 3, G MINOR, OP. 58","Moscheles,  Ignaz"
"WEEP NOT FOR SORROW","Lachner,  Franz"
"OVERTURE, NO. 11, OP. 143","Kalliwoda,  Johann  W."
"SYMPHONY NO. 1, C MINOR, OP. 5","Gade,  Niels"
"LAST CONCERTO: ADAGIO AND RONDO","Vieuxtemps,  Henri"
"OVERTURE, WOOD NYMPH, F MAJOR, OP.20","Bennett,  William  Sterndale"
"KONZERTSTUCK IN F MINOR FOR PIANO, OP.79","Weber,  Carl  Maria Von"
"TRIOMPHALE OVERTURE","Ries,  Ferdinand"
"SYMPHONY NO. 7, OP. 121 FOR TWO ORCHESTRAS","Spohr,  Louis"
"VARIATIONS FOR THE BASSOON","Jacobi,  Frederick"
"BRILLIANT VARIATIONS FOR THE TRUMPET","Granz,  Norman"
"SOLO (WITH ECHO), FRENCH HORN","Schmitz,  Henry"
"ANDANTE AND VARIATIONS, B FLAT MAJOR, OP. 46","Schumann,  Robert"
"SINFONIA PASSIONATA (PRIZE SYMPHONY)","Lachner,  Franz"
"LUCIA DI LAMMERMOOR, ""SOFFRIVA NEL PIANTO""  (FOR SAXHORN QUARTET) (ARR. Unspecified)","Donizetti,  Gaetano"
"TERZETTO A CANONE, VANNE A COLEI","Costa,  Sir  Michael"
"SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60","Beethoven,  Ludwig  van"
"SOLO FOR FLUTE WITH ORCHESTRA","Nicholson,  Charles"
"CONCERTO, VIOLIN, E MINOR, OP.64","Mendelssohn,  Felix"
"CAPRICCIO BRILLANTE IN B MINOR, OP.22","Mendelssohn,  Felix"
"CALM SEA AND PROSPEROUS VOYAGE","Mendelssohn,  Felix"
"HUGUENOTS, LES","Meyerbeer,  Giacomo"
"CONCERTANTE FOR FOUR VIOLINS","Maurer,  Ludwig  Wilhelm"
"CONCERTINO, OP.29","Benedict,  Jules"
"CONCERTINO FOR HORN AND ORCHESTRA","Fuchs,  H."
"SYMPHONY NO. 9, C MAJOR, D.944 (GREAT)","Schubert,  Franz"
"LES DEUX JOURNEES","Cherubini,  Luigi"
"CONCERTO, VIOLIN, NO. 2, D MAJOR, OP.14","David,  Ferdinand"
"VESTALE, LA","Spontini,  Gasparo"
"GRAND CONCERTO, PIANO","Hummel,  Johann"
"SYMPHONY IN B FLAT MAJOR (UNSPECIFIED)","Haydn,  Franz  Joseph"
"FANTASIE AND VARIATIONS FOR FLUTE","Heinemeyer,  Ernst  Wilhelm"
"DUO CONCERTANTE, TWO VIOLINS","Dancla,  Jean  Charles"
"ROMANCE: GO! THOU RESTLESS WIND!","Wallace,  William  Vincent"
"ROBESPIERRE, OP. 55","Litolff,  Henry  Charles"
"SYMPHONY NO. 4, A MAJOR, OP. 90 (ITALIAN)","Mendelssohn,  Felix"
"JOSEPH","Mehul [Méhul],  Etienne  Nicolas"
"CONCERTO, VIOLIN, NO. 6, OP. 70","Beriot,  Charles-Auguste  de"
"FAUST","Lindpaintner,  Peter  Von"
"QUINTET NO. 2","Reicha,  Antoine(-Joseph)"
"GRAND RONDEAU: LE GAGE D'AMITIE","Kalkbrenner,  Friedrich [Frédéric]"
"THINE IS MY HEART","Schubert,  Franz"
"WINTERREISE, D.911","Schubert,  Franz"
"CONCERTO, PIANO, NO. 2, D MINOR , OP.40","Mendelssohn,  Felix"
"THE HAPPY BIRDLING","Wallace,  William  Vincent"
