"soloistName","soloistInstrument"
"Otto, Antoinette","Soprano"
"Scharfenberg, William","Piano"
"Hill, Ureli Corelli","Violin"
"Derwort, G. H.","Viola"
"Boucher, Alfred","Cello"
"Rosier, F. W.","Contrabass"
"Horn, Charles Edward","Tenor"
"Timm, Henry C.","Piano"
"Lehman","Flute"
"Groneveldt, Theodore W.","Clarinet"
"Hegelund, H. W.","Bassoon"
"Woehning, F. C.","French Horn"
"No Soloist","None"
"Rakeman, Frederick","Piano"
"Wiese, Frederick","Oboe"
"Loder, Edward","Vocalist"
"Gröneveldt, W. Theodore","Clarinet"
"Reiff, Anton, Sr.","Bassoon"
"Trojsi, Gaetano","French Horn"
"Wiegers, Louis","Viola"
"Castellan, Jeanne Anais","Soprano"
"Kyle, John A.","Flute"
"Johnson","Tenor"
"Vieuxtemps, Henri","Violin"
"Valtellina","Tenor"
"Ricci, Amalia","Vocalist"
"Sanquirico","Vocalist"
"De Luce","Vocalist"
"Munson","Vocalist"
"Massett, J. Schwartz","Vocalist"
"Arnoult","Vocalist"
"Mott","Vocalist"
"Lazare, Jenny","Harp"
"Wollenhauft, Hermann","Piano"
"Starck, F.","Clarinet"
"Burke, Joseph","Violin"
"Northall, Julia","Vocalist"
"Dodworth, Allen","Cornet"
"Dodworth, Harvey B.","Cornet"
"Pico","Vocalist"
"Beames","Piano"
"Boulard","Alto"
"Munson","Tenor"
"Mayer","Bass"
"Ablamowicz","Vocalist"
"Heuckeroth, Charles","Violin"
"De Ribas","Oboe"
"Liederkranz of the City of New York","Mens Chorus"
"Rapetti, M.","Violin"
"Horn, C.E.","Vocalist"
"Hoffman, Richard","Piano"
"Arthurson","Vocalist"
"Leach, S. L.","Vocalist"
"Elena, Luigi","Violin"
"Eltz, Paul","Bassoon"
"Haase, Carl F.W.","Trumpet"
"Schmitz, Henry","French Horn"
"Dresel, Otto","Piano"
"Distin, and His Sons","Saxhorn"
"Willy, J.","Piano"
"Poppenberg","Tenor"
"Jacoby, Charles W.","Contrabass"
"Reitzel, F.","Flute"
"Chorus","Womens Chorus"
"Jones, L. A.","Vocalist"
"Noll, Joseph","Violin"
"Bristow, George Frederick","Violin"
"Reyer, H.","Violin"
"Perkins, James W.","Violin"
"Benedict, Jules","Piano"
"Bristow, George Frederick","Piano"
"Bouchelle, Wallace","Vocalist"
"Appy, Henri","Violin"
"Mayer, Philip","Baritone"
"Drescher, J. E.","Clarinet"
"Goldschmidt, Otto","Piano"
"Ohlemann, L.","Oboe"
"Klein","Vocalist"
"Saar, William","Piano"
"Bostwick, Emma Gillingham","Vocalist"
"Eben, Felix J.","Flute"
"Tourny, Mina","Vocalist"
"Tourny, Louisa","Vocalist"
"Eichhorn, Louis","Cello"
"Siedenburg","Vocalist"
"Julien, Paul","Violin"
"Root's Quartette Party","Vocalist"
"Jaques, Rosa","Vocalist"
"Gockel, August","Piano"
"Aptommas, Thomas","Harp"
"Hahn, C.","Violin"
"Brainerd, Maria S.","Soprano"
"Schumann, Julius","Vocalist"
"Knaebel, Simon","French Horn"
"Wallace, William Vincent","Piano"
"Wallace, W.V.","Piano"
"Lehmann, Caroline","Soprano"
"Kiefer, Xavier","Clarinet"
"Urso, Camilla","Violin"
"Schreiber, Louis","Cornet"
"Stuart, Georgiana R.","Vocalist"
"Satter, Gustave","Piano"
"Mendelssohn Union","Chorus"
"Brinkerhoff, Clara","Vocalist"
"Unknown Soloist","Vocalist"
"Mason, William","Piano"
"Dingley, C. A.","Vocalist"
"Schreiber, Louis","Trumpet"
"Feder, Otto","Vocalist"
"Mollenhauer, Edward","Violin"
"Mollenhauer, Friedrich","Violin"
"Badiali, Caesare","Baritone"
"La Grange, Anna De","Soprano"
"Doehler, William","Violin"
"Goldbeck, Robert","Piano"
"Johannsen Scheerer","Vocalist"
"Gottschalk, Louis Moreau","Piano"
"Guyon, Emile","Piano"
"Roode, Marie De","Vocalist"
"Milner, Annie","Soprano"
"Mollenhauer, Henry","Cello"
"Labocetta","Tenor"
"Johnson-Gräver, Madeleine","Piano"
"Gassier","Baritone"
"Abella","Piano"
"D'Angri, Elena","Vocalist"
"Cooper, Henry C.","Violin"
"Andem, Hattie","Soprano"
"Matzka, George","Viola"
"Bergner, Frederick","Cello"
"Brannes, Charles","Cornet"
"Arion Choral Society","Mens Chorus"
"Teutonia Choral Society","Chorus"
"Wollenhaupt, Bruno","Violin"
"Couran, Marie Elina","Soprano"
"Mills, Sebastian Bach","Piano"
"Inman, F.","Soprano"
"Stigelli, Giorgio","Tenor"
"Napoleon, Arthur","Piano"
"Bishop, Anna","Soprano"
"Colson","Soprano"
"Centemeri, Pietro","Baritone"
"Johannsen, Bertha","Soprano"
"Zimmermann","Alto"
"Dummler Schroeder","Soprano"
"Harmonic Society","Chorus"
"Wooster, G. W.","Vocalist"
"Stoepel, Helene","Vocalist"
"Brignoli, Pasquale","Tenor"
"Susini, Augustino","Bass"
"Hinkley, Isabella","Mezzo-Soprano"
"Parker, S. Lizzie","Soprano"
"Rowcroft, Emma","Soprano"
"Fay, Abby","Soprano"
"Timm, Henry C.","Organ"
"Schmitz, Henry","Cornet"
"Ridolfi, F.","Baritone"
"Hartmann, Ernst","Piano"
"Ludecus","Soprano"
"Letsch, Frederick","Trombone"
"Pattison, J. N.","Piano"
"Thomas, J. B.","Tenor"
"Perring, J. Ernst","Tenor"
"Kellogg, Clara Louise","Soprano"
"Lorini, Virginia","Soprano"
"Quint, Louis","Tenor"
"Hermanns, Joseph","Bass"
"Rotter","Soprano"
"Paulitsch","Soprano"
"Lotti, William","Tenor"
"Thomas, Theodore","Violin"
"Varian","Soprano"
"Liederkranz of the City of New York","Chorus"
"Prume, Jehin","Violin"
"Wehli, James M.","Piano"
"Poch, Carmelina","Soprano"
"Dietz, Frederick, Sr.","Trumpet"
"Seelig, Natalie","Soprano"
"Wolfsohn, Carl","Piano"
"Seelig, Natalie","Vocalist"
"Boehm, Edward","Clarinet"
"Groschel, Sophie","Piano"
"Kopta, Wenzel","Violin"
"Steins, F.","Baritone"
"Mosenthal, Joseph","Piano"
"Topp, Alide","Piano"
"Smith, H.M.","Soprano"
"Mayer, Ella J.","Contralto"
"Hill, W. J.","Tenor"
"Duschnitz, M.","Bass"
"Parepa-Rosa, Euphrosyne","Vocalist"
"Phillipps, Adelaide","Contralto"
"Bull, Ole","Violin"
"Arion Choral Society","Chorus"
"Gazzaniga, Marietta","Vocalist"
"Albites","Piano"
"Jarvis, Charles H.","Piano"
"Booth, Edwin","Speaker"
"Liederkranz of the City of New York","SATB Chorus"
"Siddons, Scott","Narrator"
"Mehlig, Anna","Piano"
"Rietzel, F.","Flute"
"Sohst, Adolf","Bassoon"
"Davison, Emily","Soprano"
"Chorus","Boys Choir"
"Rosa, Carl","Violin"
"Candidus, William","Tenor"
"Remmertz, Franz","Baritone"
"Czillag, Rosa","Soprano"
"Lichtmay, Louise","Soprano"
"Krebs, Mary","Piano"
"Vandenhoff, George","Reader"
"Boehm, Edward","Bass Clarinet"
"Goepel, August H.","Clarinet"
"Drewes, John","Clarinet"
"Friedrich, Louis","Bassoon"
"Liesegang, Adolph","Cello"
"Bergmann, Carl","Cello"
"Hoch, Andreas","Cello"
"Krebs, Mary","Soprano"
"Damrosch, Leopold","Violin"
"Gulager, Philipp D.","Vocalist"
"Pruckner, Dionys","Piano"
"Corradi, Henriette","Soprano"
"Sarasate, Pablo De","Violin"
"Sterling, Antoinette","Vocalist"
"Rubinstein, Anton","Piano"
"Drasdil, Anna","Contralto"
"Walter, Benno","Violin"
"Speigler, Carl","Bass"
"Wieniawski, Henri","Violin"
"Schiever, Ernst","Violin"
"Henne, Antonia","Mezzo-Soprano"
"Henne, Antonia","Contralto"
"Reiff, Anton, Sr.","Piano"
"Murska, Ilma Di","Vocalist"
"Pope, William H.","Narrator"
"Donadio, Bianca","Vocalist"
"Luckhardt, Lina","Piano"
"Meyer, Leopold","Violin"
"Rosburgh, Ida","Vocalist"
"Butman, E.","Vocalist"
"Borie, Annie J.","Vocalist"
"Rive, Julia","Piano"
"Falk-Auerbach, Nannetta","Piano"
"Wachtel, Theodor","Tenor"
"White, Joseph","Violin"
"Pappenheim, Eugenie","Soprano"
"Bischoff, H. A.","Tenor"
"New York Saengerrunde","Chorus"
"Essipoff, Annette","Piano"
"Vivien, Alfred","Violin"
"Lang, Boris J.","Piano"
"Steinbuch, Carl","Baritone"
"Oratorio Society of New York","Chorus"
"Oratorio Society of New York","Mens Chorus"
"Butman, E.","Soprano"
"Hall, A.","Soprano"
"Cranch, E.","Alto"
"Leggat, N. S.","Tenor"
"Nilsen, J. R.","Tenor"
"Stoddard, Alonzo E.","Baritone"
"Warner, G. P.","Bass"
"Boekelman, Bernard","Piano"
"Hubbell, Ida","Soprano"
"Simpson, George","Tenor"
"Lichtenberg, Leopold","Violin"
"Wilde, Mathilde","Soprano"
"Wilhelmj, August","Violin"
"Remenyi, Edouard","Violin"
"Galassi, Antonio F.","Vocalist"
"Galassi, Antonio F.","Baritone"
"Pinner, Max","Piano"
"Hauk, Minnie","Soprano"
"Whitney, Myron William","Bass"
"Rummel, Franz","Piano"
"Drasdil, Anna","Vocalist"
"Dow, Anna Granger","Vocalist"
"Heim, Leonie Groessler","Piano"
"Arnold, Richard","Violin"
"Gramm, Emil","Viola"
"Werner, Charles","Cello"
"Lowack, Ferdinand","Contrabass"
"Weiner, Eugene","Flute"
"Piper, Carl","French Horn"
"Schirmer, Laura","Soprano"
"New York Philharmonic Club","Ensemble"
"Gantzberg, Julius","Violin"
"Winant, Emily","Contralto"
"Oratorio Society of New York","Womens Chorus"
"Swift, Mary L.","Soprano"
