"Venue","Location"
"Apollo Rooms","Manhattan, NY"
"Castle Garden","Manhattan, NY"
"Assembly Rooms, Chinese Buildings","Manhattan, NY"
"Apollo Saloon","Manhattan, NY"
"Niblo's Concert Room","Manhattan, NY"
"Niblo's Concert Saloon","Manhattan, NY"
"Metropolitan Hall","Manhattan, NY"
"Broadway Tabernacle","Manhattan, NY"
"Niblo's Garden","Manhattan, NY"
"Academy of Music","Manhattan, NY"
"Irving Hall","Manhattan, NY"
"Steinway Hall","Manhattan, NY"
"Chickering Hall","Manhattan, NY"
"Metropolitan Opera House (39th street)","Manhattan, NY"
"Unknown Venue","Manhattan, NY"
"Carnegie Hall","Manhattan, NY"
"Music Hall","Boston, MA"
"Carnegie Lyceum","Manhattan, NY"
"None","None"
"Willow Grove Park","Philadelphia, PA"
"Massey Hall","Toronto, CANADA"
"Teck Theater","Buffalo, NY"
"Coliseum","Peoria, IL"
"Odeon","St. Louis, MO"
"Boyd's Theatre","Omaha, NE"
"People's Church","St. Paul, MN"
"University Armory Hall","Minneapolis, MN"
"Drake University","Des Moines, IA"
"None","Kansas City, MO"
"Toler Auditorium","Wichita, KS"
"New Opera House","Oklahoma City, OK"
"Auditorium","Louisville, KY"
"Tomlinson Hall","Indianapolis, IN"
"Auditorium","Grand Rapids, MI"
"National Theatre","Washington, DC"
"New York Theatre Roof","Manhattan, NY"
"Brooklyn Institute of Arts and Sciences","Brooklyn, NY"
"None","Manhattan, NY"
"New Theatre","Manhattan, NY"
"Brooklyn Academy of Music","Brooklyn, NY"
"Academy of Music","Philadelphia, PA"
"Woolsey Hall","New Haven, CT"
"Court Square Theater","Springfield, MA"
"Infantry Hall","Providence, RI"
"Symphony Hall","Boston, MA"
"Soldiers Memorial Hall","Pittsburgh, PA"
"Gray's Armory","Cleveland, OH"
"Convention Hall","Buffalo, NY"
"Convention Hall","Rochester, NY"
"Wieting Opera House","Syracuse, NY"
"Majestic Theatre","Utica, NY"
"Century Theatre","Manhattan, NY"
"Parsons Theatre","Hartford, CT"
"Alexander Hall","Princeton, NJ"
"Krueger Auditorium","Newark, NJ"
"Lyric Theatre","Baltimore, MD"
"Harmanus Bleecker Hall","Albany, NY"
"Unknown Venue","Scranton, PA"
"Unknown Venue","Binghamton, NY"
"Unknown Venue","Schenectady, NY"
"Unknown Venue","Syracuse, NY"
"Unknown Venue","Rochester, NY"
"Unknown Venue","Detroit, MI"
"Unknown Venue","Chicago, IL"
"Unknown Venue","St. Louis, MO"
"Unknown Venue","Indianapolis, IN"
"Unknown Venue","Cincinnati, OH"
"Unknown Venue","Columbus, OH"
"Unknown Venue","Pittsburgh, PA"
"Aeolian Hall","Manhattan, NY"
"City Hall","Holyoke, MA"
"Waldorf-Astoria Hotel","Manhattan, NY"
"City Auditorium","Richmond, VA"
"Darling Theatre","Gloversville, NY"
"Burtis Auditorium","Auburn, NY"
"New York State Armory","Elmira, NY"
"Town Hall","Scranton, PA"
"Broad Street Theatre","Trenton, NJ"
"York Opera House","York, PA"
"Cambria Theater","Johnstown, PA"
"Memorial Hall","Columbus, OH"
"Auditorium","Canton, OH"
"High School Auditorium","New Castle, PA"
"Madison Square Garden","Manhattan, NY"
"Cooper Union","Manhattan, NY"
"John M. Greene Hall","Northampton, MA"
"Colonial Theater","Elmira, NY"
"Samuels Opera House","Jamestown, NY"
"Collingwood Opera House","Poughkeepsie, NY"
"Hotel Astor","Manhattan, NY"
"Irem Temple","Wilkes-Barre, PA"
"Columbia University - Gymnasium","Manhattan, NY"
"Detroit Armory","Detroit, MI"
"Municipal Auditorium","Springfield, MA"
"Music Hall","Troy, NY"
"City Opera House","Watertown, NY"
"None","Middletown, CT"
"Wells College","Aurora, NY"
"Bailey Hall","Ithaca, NY"
"Memorial Hall","Dayton, OH"
"Montclair Theatre","Montclair, NJ"
"Richardson Theater","Oswego, NY"
"Middlesex Theater","Middletown, CT"
"None","Boston, MA"
"Buckingham Hall","Waterbury, CT"
"Westover School","Middlebury, CT"
"Lumberg Theatre","Utica, NY"
"State Armory","Auburn, NY"
"Auditorium Hall","Canton, OH"
"Auditorium","Kent, OH"
"Hill Auditorium","Ann Arbor, MI"
"Arcadia Auditorium","Detroit, MI"
"The Coliseum","Toledo, OH"
"Court Theatre","Wheeling, WV"
"The Auditorium","Urbana, IL"
"Unknown Venue","Peoria, IL"
"Majestic Theatre","Dubuque, IA"
"College Auditorium","Cedar Falls, IA"
"Greene's Opera House","Cedar Rapids, IA"
"Penn College Auditorium","Oskaloosa, IA"
"The Coliseum","Des Moines, IA"
"Shubert Theater","Kansas City, MO"
"Normal Auditorium","Hays, KS"
"Bethany College Auditorium","Lindsborg, KS"
"Unknown Venue","Hutchinson, KS"
"Unknown Venue","Oklahoma City, OK"
"Unknown Venue","Shawnee, OK"
"High School Auditorium","Ardmore, OK"
"College of Industrial Arts","Denton, TX"
"Coliseum","Ft. Worth, TX"
"The Coliseum","Dallas, TX"
"Grand Opera House","Shreveport, LA"
"Cotton Palace Coliseum","Waco, TX"
"University Auditorium","Austin, TX"
"City Auditorium","Galveston, TX"
"City Auditorium","Houston, TX"
"Athenaeum","New Orleans, LA"
"Lyric Theatre","Mobile, AL"
"Grand Theater","Montgomery, AL"
"Bijou Theater","Birmingham, AL"
"Grand Opera House","Meridian, MS"
"Unknown Venue","Jackson, MS"
"Lyceum Theatre","Memphis, TN"
"Unknown Venue","Chattanooga, TN"
"Ryman Auditorium","Nashville, TN"
"Academy of Music","Roanoke, VA"
"Smith Opera House","Geneva, NY"
"Family Theater","Rome, NY"
"High School Auditorium","Kingston, NY"
"Academy of Music","Newburgh, NY"
"Liederkranz Hall","Manhattan, NY"
"High School Auditorium","East Orange, NJ"
"Park Theatre","Bridgeport, CT"
"City Hall","Torrington, CT"
"Auditorium","Meriden, CT"
"Foot Guard Hall","Hartford, CT"
"Terminal Auditorium","Toledo, OH"
"Grand Opera House","Tiffin, OH"
"Marvin Theater","Findlay, OH"
"Music Hall","Akron, OHIO"
"City Auditorium","Canton, OH"
"23rd Regiment Armory","Brooklyn, NY"
"Biltmore Hotel","Manhattan, NY"
"Camp Dix","Wrightstown, NJ"
"Ohio Wesleyan University","Delaware, OH"
"Auditorium Theatre","Newark, OH"
"YMCA Auditorium","Yaphank, NY"
"Van Curler Opera House","Schenectady, NY"
"Museum of Art","Cleveland, OH"
"Baptist Church","Granville, OH"
"The Armory","Akron, OHIO"
"Rajah Theatre","Reading, PA"
"Mechanics Hall","Worcester, MA"
"State Street Casino","Bridgeport, CT"
"Shubert-Majestic Theatre","Providence, RI"
"Hall of the Commercial High School","Brooklyn, NY"
"The Academy","Manchester, NH"
"Central High School","Washington, DC"
"Belasco Theatre","Washington, DC"
"Carnegie Music Hall","Pittsburgh, PA"
"Elmwood Hall","Buffalo, NY"
"Students' Auditorium","Poughkeepsie, NY"
"Palace Theatre","Ft. Wayne, IN"
"The Armory","Newark, NJ"
"Hippodrome","Manhattan, NY"
"Stuyvesant High School","Manhattan, NY"
"Colonial Theatre","Pittsfield, MA"
"Memorial Hall","Springfield, OH"
"Orchestra Hall","Detroit, MI"
"Powers Theater","Grand Rapids, MI"
"Park Theater","Youngstown, OH"
"New Masonic Hall","Cleveland, OH"
"High School Auditorium","Ashtabula, OH"
"Park Opera House","Erie, PA"
"The Armory","Niagara Falls, NY"
"Théâtre National de l'Opéra","Paris, FRANCE"
"None","Bordeaux, FRANCE"
"Salle Rameau","Lyon, FRANCE"
"None","Marseille, FRANCE"
"Grand Theatre de Monte Carlo","Monte Carlo, MONACO"
"Teatro Carlo Felice","Genoa, ITALY"
"Augusteo","Rome, ITALY"
"None","Florence, ITALY"
"None","Bologna, ITALY"
"None","Milan, ITALY"
"None","Turin, ITALY"
"Salle du Palais des fetes","Strasbourg, FRANCE"
"None","Metz, FRANCE"
"None","Nancy, FRANCE"
"Trocadéro","Paris, FRANCE"
"Theatre royale de la monnaie","Brussels, BELGIUM"
"Theatre royale d'Anvers","Antwerp, BELGIUM"
"Salle du conservatoire","Liege, BELGIUM"
"Grand Theatre de Gand","Ghent, BELGIUM"
"None","The Hague, NETHERLANDS"
"Concertgebouw","Amsterdam, NETHERLANDS"
"Queen's Hall","London, ENGLAND"
"Royal Albert Hall","London, ENGLAND"
"Lewisohn Stadium","Manhattan, NY"
"Mead Memorial Chapel","Middlebury, VT"
"Drury Auditorium","North Adams, MA"
"Poli Theater","Bridgeport, CT"
"Lexington Theatre","Manhattan, NY"
"Nixon's Academy of Music","Hagerstown, MD"
"Orpheum Theatre","Easton, PA"
"Gaiety Theatre","Utica, NY"
"Lyric Theatre","Allentown, PA"
"Strand Theatre","Cumberland, MD"
"High School Auditorium","Greensburg, PA"
"Civic Music league","Dayton, OH"
"Unknown Venue","Louisville, KY"
"Coliseum Theatre","Evansville, IN"
"Woodland Auditorium","Lexington, KY"
"Jefferson Theater","Birmingham, AL"
"Lyric Theater","Memphis, TN"
"Coliseum","Waco, TX"
"Fair Park Coliseum","Dallas, TX"
"None","Ft. Worth, TX"
"First Baptist Church","Ft. Worth, TX"
"Unknown Venue","El Paso, TX"
"Armory","Tucson, AZ"
"High School Auditorium","Phoenix, AZ"
"Spreckels Theatre","San Diego, CA"
"Philharmonic Auditorium","Los Angeles, CA"
"Greek Theatre","Berkeley, CA"
"Civic Auditorium","San Francisco, CA"
"Unknown Venue","Portland, OR"
"Arena Theater","Seattle, WA"
"Auditorium Theatre","Spokane, WA"
"Keylor Grand","Walla Walla, WA"
"L.D.S. Tabernacle","Le Grande, OR"
"Salt Lake Tabernacle","Salt Lake City, UT"
"The Armory","Grand Junction, CO"
"Burns Theater","Colorado Springs, CO"
"Auditorium","Denver, CO"
"City Auditorium","Pueblo, CO"
"The Forum","Wichita, KS"
"College Auditorium","Manhattan, KS"
"Robinson Gymnasium","Lawrence, KS"
"Lyceum Theatre","St. Joseph, MO"
"City Auditorium","Lincoln, NE"
"High School Auditorium","Sioux City, IA"
"Coliseum Theater","Sioux Falls, SD"
"Auditorium","Minneapolis, MN"
"Armory","Fargo, ND"
"City Auditorium","Grand Forks, ND"
"New Armory","Duluth, MN"
"Auditorium","Eau Claire, WI"
"Rothschild Park Pavilion","Wausau, WI"
"Lawrence Memorial Chapel","Appleton, WI"
"Milwaukee Auditorium","Milwaukee, WI"
"University Armory","Madison, WI"
"Gymnasium","Evanston, IL"
"Lincoln Square Theatre","Decatur, IL"
"Grand Opera","Jacksonville, IL"
"Memorial Hall","Lima, OH"
"Grand Theater","Tiffin, OH"
"Winter Garden","London, CANADA"
"Olympic Theatre","Watertown, NY"
"Théâtre St-Denis","Montreal, CANADA"
"Gymnasium","Burlington, VT"
"State Armory","New London, CT"
"157 E. 74th Street","Manhattan, NY"
"Great Hall, City College of New York","Manhattan, NY"
"Jolson's 59th St. Theatre","Manhattan, NY"
"Plainfield High School","Plainfield, NJ"
"Palace Theatre","Bridgeport, CT"
"Webster Hall","Hanover, NH"
"Fulton Opera House","Lancaster, PA"
"Syria Mosque","Pittsburgh, PA"
"State Armory","Stamford, CT"
"Albee Theatre","Providence, RI"
"Poli's Theatre","Washington, DC"
"None","Washington, DC"
"Mecca Auditorium","Manhattan, NY"
"Liberty High School","Bethlehem, PA"
"Market Auditorium","Wheeling, WV"
"Strand Theatre","Reading, PA"
"Warner Theater","Manhattan, NY"
"Sesquicentennial Auditorium","Philadelphia, PA"
"Rhode Island Auditorium","Providence, RI"
"Mt. Holyoke College","Holyoke, MA"
"State Armory","Salem, MA"
"Majestic Theater","Harrisburg, PA"
"Town Hall","Manhattan, NY"
"Monroe High School","Bronx, NY"
"Girls' Commercial HS","Brooklyn, NY"
"Murat Theatre","Indianapolis, IN"
"Symphony Center (Orchestra Hall)","Chicago, IL"
"Public Hall","Cleveland, OH"
"New Haven Arena","New Haven, CT"
"The Mosque","Richmond, VA"
"Mosque Theatre","Newark, NJ"
"Constitution Hall","Washington, DC"
"Eastman Theatre","Rochester, NY"
"Tonhalle","Zurich, SWITZERLAND"
"Teatro alla Scala","Milan, ITALY"
"Teatro Regio","Turin, ITALY"
"Politeama","Florence, ITALY"
"Tonhalle","Munich, GERMANY"
"Staatsoper","Vienna, AUSTRIA"
"Varosy Theater","Budapest, HUNGARY"
"Lucerna-Saal","Prague, CZECH REPUBLIC"
"Gewandhaus","Leipzig, GERMANY"
"Sachsische Staatstheater Opernhaus","Dresden, GERMANY"
"Philharmonie","Berlin, GERMANY"
"Palais des Beaux-Arts","Brussels, BELGIUM"
"Bushnell Auditorium","Hartford, CT"
"Great Hall - City College","Manhattan, NY"
"Pickwick Theatre","Greenwich, CT"
"Grand Masonic Lodge","Manhattan, NY"
"Metropolitan Theatre","Providence, RI"
"Carnegie Chamber Music Hall at Carnegie Hall","Manhattan, NY"
"Spa Theatre","Saratoga Springs, NY"
"McCarter Theatre","Princeton, NJ"
"Silvermine Festival","Norwalk, CT"
"Hotel Plaza","Manhattan, NY"
"Hall of Music World's Fair Grounds","Queens, NY"
"Masonic Temple","Scranton, PA"
"Museum of Art","Toledo, OH"
"Central High School","Kalamazoo, MI"
"Auditorium Theatre","Chicago, IL"
"Palace Theatre","Hamilton, CANADA"
"Capitol Theatre","Ottawa, CANADA"
"Proctor High School Auditorium","Utica, NY"
"William Penn High School","York, PA"
"Saginaw Auditorium","Saginaw, MI"
"Prudden Auditorium","Lansing, MI"
"Shrine Auditorium","Ft. Wayne, IN"
"Music Hall","Cincinnati, OH"
"New York State Amphitheatre","Queens, NY"
"Plaza Hotel","Manhattan, NY"
"Camp Kilmer","New Brunswick, NJ"
"U.S.S. Prairie State","Manhattan, NY"
"Mitchel Field","Hempstead, NY"
"Fort Monmouth","Red Bank, NJ"
"High School","Poughkeepsie, NY"
"Municipal Auditorium","Kingston, NY"
"Hunter College","Manhattan, NY"
"NY City Center","Manhattan, NY"
"Halloran Hospital","Staten Island, NY"
"War Department Theatre","West Point, NY"
"Whithorne Residence","LYME, CT"
"High School Auditorium","Norwalk, CT"
"Memorial Auditorium","Worcester, MA"
"Unknown Venue","Norfolk, VA"
"Unknown Venue","Richmond, VA"
"Unknown Venue","Raleigh, NC"
"Page Auditorium","Durham, NC"
"Converse Auditorium","Spartanburg, SC"
"Unknown Venue","Atlanta, GA"
"Municipal Auditorium","Atlanta, GA"
"Alumni Memorial Auditorium","Knoxville, TN"
"Municipal Auditorium","Birmingham, AL"
"Sidney Lanier Auditorium","Montgomery, AL"
"Unknown Venue","New Orleans, LA"
"Auditorium","Memphis, TN"
"Jefferson County Armory","Louisville, KY"
"Kiel Opera House","St. Louis, MO"
"Masonic Auditorium","Detroit, MI"
"Municipal Auditorium","Charleston, WV"
"Kleinhans Music Hall","Buffalo, NY"
"Lincoln Auditorium","Syracuse, NY"
"Music Hall","Cleveland, OH"
"Stock Pavilion","Madison, WI"
"College Auditorium","East Lansing, MI"
"Stanley Theater","Utica, NY"
"City Hall Auditorium","Portland, ME"
"Unknown Venue","White Plains, NY"
"Columbia Music Festival","Columbia, SC"
"Unknown Venue","Spartanburg, SC"
"American Legion Auditorium","Roanoke, VA"
"Indiana University Auditorium","Bloomington, IN"
"Sports Arena","Toledo, OH"
"Roxy Theatre","Manhattan, NY"
"Rutgers University","New Brunswick, NJ"
"Usher Hall","Edinburgh, SCOTLAND"
"Glen Cove High School","Glen Cove, NY"
"R.P.I. Field House","Troy, NY"
"Ebbets Field","Brooklyn, NY"
