"","workTitle"
"1","SYMPHONY NO. 5 IN C MINOR, OP.67"
"11","OBERON"
"21","QUINTET, PIANO, D MINOR, OP. 74"
"51","ARMIDA"
"61","FIDELIO, OP. 72"
"71","ABDUCTION FROM THE SERAGLIO,THE, K.384"
"81","OVERTURE NO. 1, D MINOR, OP. 38"
"91","SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA)"
"96","I PURITANI"
"101","CELEBRATED ELEGIE"
"111","WILLIAM TELL"
"116","STABAT MATER"
"121","CONCERTO, PIANO, A-FLAT MAJOR, OP. 113"
"131","FREISCHUTZ, DER"
"136","EGMONT, OP.84"
"200","CONCERTO, PIANO, A MINOR, OP. 85"
"232","O HAPPY HAPPY HOUR"
"264","FANTASIA ON SWEEDISH AIRS"
"296","SEXTET IN E FLAT MAJOR, OP. 30"
"392","FANTASIA AND VARIATIONS ON THEMES FROM NORMA, OP. 12 (FOUR HANDS)"
"424","MAGIC FLUTE, THE, K.620"
"456","INTRODUCTION AND VARIATIONS ON THE ROMANCE OF JOSEPH, OP. 20"
"488","QUINTET FOR WINDS AND ORCHESTRA"
"520","SYMPHONY NO. 2 IN D MAJOR, OP.36"
"529","SYMPATHY, HXXVIA:33 (VOICE AND ORCH) (ARR. Loder)"
"538","MIDSUMMER NIGHT'S DREAM, OP. 61"
"556","SEPTET, E-FLAT MAJOR, OP.20"
"565","E MI LASCI COSÌ? ... TU M'ABBANDONI, INGRATO, OP. 71"
"574","JUBEL OVERTURE, OP. 59"
"583","SYMPHONY NO. 7 IN A MAJOR, OP.92"
"585","IDA DELLA TORRE"
"591","LUCIA DI LAMMERMOOR"
"595","SYMPHONY NO. 41, C MAJOR, K.551, ""JUPITER"""
"647","SEPTET, D MINOR, OP. 74"
"725","OVERTURE, F MAJOR"
"751","LA SONNAMBULA"
"777","QUINTET"
"829","ZAMPA"
"855","SYMPHONY NO. 2, D MINOR, OP. 49"
"858","DIALOGO BRILLIANTE"
"864","SEMIRAMIDE"
"867","CONCERTO, PIANO, B MINOR"
"870","EURYANTHE, OP. 81, J. 291"
"875","FANTASIA POUR LE VIOLON SUR LA QUATRIEME CORDE"
"879","ARIA [UNSPECIFIED]"
