"","soloistName"
"1","Otto, Antoinette"
"2","Scharfenberg, William"
"3","Hill, Ureli Corelli"
"4","Derwort, G. H."
"5","Boucher, Alfred"
"6","Rosier, F. W."
"8","Horn, Charles Edward"
"94","Timm, Henry C."
"143","Lehman"
"144","Groneveldt, Theodore W."
"145","Hegelund, H. W."
"146","Woehning, F. C."
"148","No Soloist"
"156","Rakeman, Frederick"
"164","Wiese, Frederick"
"520","Loder, Edward"
"521","Gröneveldt, W. Theodore"
"522","Reiff, Anton, Sr."
"523","Trojsi, Gaetano"
"525","Wiegers, Louis"
"583","Castellan, Jeanne Anais"
"597","Kyle, John A."
"601","Johnson"
"873","Vieuxtemps, Henri"
"874","Valtellina"
"883","Ricci, Amalia"
"884","Sanquirico"
"919","De Luce"
"920","Munson"
"921","Massett, J. Schwartz"
"971","Arnoult"
"1064","Mott"
"1065","Lazare, Jenny"
"1067","Wollenhauft, Hermann"
"1098","Starck, F."
"1102","Burke, Joseph"
"1145","Northall, Julia"
"1169","Dodworth, Allen"
"1170","Dodworth, Harvey B."
"1184","Pico"
"1185","Beames"
"1187","Boulard"
"1189","Mayer"
"1267","Ablamowicz"
"1269","Heuckeroth, Charles"
"1319","De Ribas"
"1320","Liederkranz of the City of New York"
"1321","Rapetti, M."
"1351","Horn, C.E."
"1352","Hoffman, Richard"
"1392","Arthurson"
"1443","Leach, S. L."
"1489","Elena, Luigi"
"1501","Eltz, Paul"
"1502","Haase, Carl F.W."
"1513","Schmitz, Henry"
"1515","Dresel, Otto"
"1531","Distin, and His Sons"
"1532","Willy, J."
"1539","Poppenberg"
"1541","Jacoby, Charles W."
"1621","Reitzel, F."
"1656","Chorus"
"1658","Jones, L. A."
"1701","Noll, Joseph"
"1702","Bristow, George Frederick"
"1703","Reyer, H."
"1704","Perkins, James W."
"1730","Benedict, Jules"
"1770","Bouchelle, Wallace"
"1816","Appy, Henri"
"1817","Mayer, Philip"
"1818","Drescher, J. E."
"1837","Goldschmidt, Otto"
"1839","Ohlemann, L."
"1916","Klein"
"1917","Saar, William"
"1974","Bostwick, Emma Gillingham"
"1977","Eben, Felix J."
"2037","Tourny, Mina"
"2038","Tourny, Louisa"
"2045","Eichhorn, Louis"
"2137","Siedenburg"
"2138","Julien, Paul"
"2159","Root's Quartette Party"
"2198","Jaques, Rosa"
"2200","Gockel, August"
"2252","Aptommas, Thomas"
"2254","Hahn, C."
"2297","Brainerd, Maria S."
"2318","Schumann, Julius"
"2365","Knaebel, Simon"
"2366","Wallace, William Vincent"
"2367","Wallace, W.V."
"2411","Lehmann, Caroline"
"2415","Kiefer, Xavier"
"2452","Urso, Camilla"
"2454","Schreiber, Louis"
"2484","Stuart, Georgiana R."
"2485","Satter, Gustave"
"2528","Mendelssohn Union"
"2529","Brinkerhoff, Clara"
"2530","Unknown Soloist"
"2533","Mason, William"
"2534","Dingley, C. A."
"2655","Feder, Otto"
"2656","Mollenhauer, Edward"
"2657","Mollenhauer, Friedrich"
"2709","Badiali, Caesare"
"2800","La Grange, Anna De"
"2801","Doehler, William"
"2802","Goldbeck, Robert"
"2860","Johannsen Scheerer"
"2862","Gottschalk, Louis Moreau"
