"","Venue"
"1","Apollo Rooms"
"1181","Castle Garden"
"1489","Assembly Rooms, Chinese Buildings"
"1513","Apollo Saloon"
"1816","Niblo's Concert Room"
"2037","Niblo's Concert Saloon"
"2252","Metropolitan Hall"
"2297","Broadway Tabernacle"
"2411","Niblo's Garden"
"2800","Academy of Music"
"4325","Irving Hall"
"5161","Steinway Hall"
"8163","Chickering Hall"
"9997","Metropolitan Opera House (39th street)"
"10960","Unknown Venue"
"12224","Carnegie Hall"
"12477","Music Hall"
"18781","Carnegie Lyceum"
"19491","None"
"21188","Willow Grove Park"
"24758","Massey Hall"
"24760","Teck Theater"
"24762","Coliseum"
"24778","Odeon"
"24798","Boyd's Theatre"
"24870","People's Church"
"24872","University Armory Hall"
"24874","Drake University"
"24885","Toler Auditorium"
"24886","New Opera House"
"24887","Auditorium"
"24889","Tomlinson Hall"
"24894","National Theatre"
"26142","New York Theatre Roof"
"26726","Brooklyn Institute of Arts and Sciences"
"30148","New Theatre"
"30438","Brooklyn Academy of Music"
"31235","Woolsey Hall"
"31250","Court Square Theater"
"31271","Infantry Hall"
"31276","Symphony Hall"
"31910","Soldiers Memorial Hall"
"31922","Gray's Armory"
"31934","Convention Hall"
"31958","Wieting Opera House"
"31982","Majestic Theatre"
"32535","Century Theatre"
"33259","Parsons Theatre"
"35407","Alexander Hall"
"35716","Krueger Auditorium"
"36201","Lyric Theatre"
"37467","Harmanus Bleecker Hall"
"38693","Aeolian Hall"
"38803","City Hall"
"38905","Waldorf-Astoria Hotel"
"38970","City Auditorium"
"39253","Darling Theatre"
"39353","Burtis Auditorium"
"39385","New York State Armory"
"39417","Town Hall"
"40146","Broad Street Theatre"
"40167","York Opera House"
"40197","Cambria Theater"
"40221","Memorial Hall"
"40482","High School Auditorium"
"42321","Madison Square Garden"
"42883","Cooper Union"
"43405","John M. Greene Hall"
"43417","Colonial Theater"
"43564","Samuels Opera House"
"43608","Collingwood Opera House"
"43920","Hotel Astor"
"44210","Irem Temple"
"44856","Columbia University - Gymnasium"
"45072","Detroit Armory"
"45265","Municipal Auditorium"
"45299","City Opera House"
"48049","Wells College"
"48186","Bailey Hall"
"49004","Montclair Theatre"
"49028","Richardson Theater"
"49095","Middlesex Theater"
"50345","Buckingham Hall"
"50527","Westover School"
"50533","Lumberg Theatre"
"50556","State Armory"
"51962","Auditorium Hall"
"51983","Hill Auditorium"
"51995","Arcadia Auditorium"
"52000","The Coliseum"
"52021","Court Theatre"
"52077","The Auditorium"
"52235","College Auditorium"
"52379","Greene's Opera House"
"52403","Penn College Auditorium"
"52831","Shubert Theater"
"52847","Normal Auditorium"
"52861","Bethany College Auditorium"
"53012","College of Industrial Arts"
"53114","Grand Opera House"
"53134","Cotton Palace Coliseum"
"53173","University Auditorium"
"53453","Athenaeum"
"53502","Grand Theater"
"53526","Bijou Theater"
"53679","Lyceum Theatre"
"53854","Ryman Auditorium"
"54108","Smith Opera House"
"54125","Family Theater"
"55056","Liederkranz Hall"
"55774","Park Theatre"
"56130","Foot Guard Hall"
"56748","Terminal Auditorium"
"56835","Marvin Theater"
